step,ep_rew_mean,ep_len_mean,config,seed
2048,0.3009592,57.25,recurrent,1
4096,0.29813265,82.5,recurrent,1
6144,0.285918375,85.53125,recurrent,1
8192,0.2871404705882353,88.7764705882353,recurrent,1
10240,0.28209388,94.27,recurrent,1
12288,0.30432243999999997,96.21,recurrent,1
14336,0.31592245,96.47,recurrent,1
16384,0.29944081000000006,92.48,recurrent,1
18432,0.34716322999999993,79.17,recurrent,1
20480,0.40195913999999994,52.39,recurrent,1
22528,0.35881221,31.25,recurrent,1
24576,0.36978365,33.96,recurrent,1
26624,0.5554693900000001,18.11,recurrent,1
28672,0.4349837099999999,15.18,recurrent,1
30720,0.4802735000000001,13.37,recurrent,1
32768,0.47060412,9.12,recurrent,1
34816,0.40446123,10.1,recurrent,1
36864,0.3884653,9.09,recurrent,1
38912,0.56950204,9.43,recurrent,1
40960,0.49541633000000007,8.02,recurrent,1
43008,0.55699599,6.71,recurrent,1
45056,0.5149755399999999,7.55,recurrent,1
47104,0.54280821,7.7,recurrent,1
49152,0.5574000299999999,6.0,recurrent,1
51200,0.54751025,6.45,recurrent,1
53248,0.48015514000000004,6.11,recurrent,1
55296,0.4451224599999999,7.44,recurrent,1
57344,0.44077960000000005,5.74,recurrent,1
59392,0.489898,5.48,recurrent,1
61440,0.45088983,5.41,recurrent,1
63488,0.44151432,5.73,recurrent,1
65536,0.44942043000000004,5.68,recurrent,1
67584,0.54732656,5.93,recurrent,1
69632,0.42088981,5.46,recurrent,1
71680,0.5495673900000001,5.34,recurrent,1
73728,0.5090530600000001,5.75,recurrent,1
75776,0.45144081999999996,5.71,recurrent,1
77824,0.50019187,5.68,recurrent,1
79872,0.48901636,5.59,recurrent,1
81920,0.50831841,5.83,recurrent,1
83968,0.38309391,5.55,recurrent,1
86016,0.39136737999999993,5.56,recurrent,1
88064,0.53077963,4.91,recurrent,1
90112,0.51019189,5.46,recurrent,1
92160,0.39213884,4.95,recurrent,1
94208,0.47188164,4.79,recurrent,1
96256,0.47136739000000005,4.96,recurrent,1
98304,0.46949393,5.42,recurrent,1
100352,0.5102653699999999,5.14,recurrent,1
102400,0.48155109999999995,5.14,recurrent,1
104448,0.56030208,4.77,recurrent,1
106496,0.41213881,4.93,recurrent,1
108544,0.46202864,4.65,recurrent,1
110592,0.44206536,5.0,recurrent,1
112640,0.5793469800000001,4.79,recurrent,1
114688,0.52622454,6.08,recurrent,1
116736,0.5103388200000001,4.94,recurrent,1
118784,0.47122046999999995,4.71,recurrent,1
120832,0.49092658,4.75,recurrent,1
122880,0.49136739999999995,4.66,recurrent,1
124928,0.53004494,4.81,recurrent,1
126976,0.4223225,4.68,recurrent,1
129024,0.48195516,4.62,recurrent,1
131072,0.5103388300000001,4.86,recurrent,1
133120,0.51092659,4.69,recurrent,1
135168,0.4910368,4.92,recurrent,1
137216,0.48180820999999996,4.58,recurrent,1
139264,0.49107351,4.7,recurrent,1
141312,0.5210000499999999,5.17,recurrent,1
143360,0.5506327299999999,4.61,recurrent,1
145408,0.5304857900000001,4.8,recurrent,1
147456,0.45224905,4.79,recurrent,1
149504,0.4619919,4.66,recurrent,1
151552,0.46202862000000006,4.71,recurrent,1
153600,0.46144089,4.77,recurrent,1
155648,0.53074289,4.54,recurrent,1
157696,0.45206535999999997,4.54,recurrent,1
159744,0.52066944,6.47,recurrent,1
161792,0.46213881,4.7,recurrent,1
163840,0.53074292,4.74,recurrent,1
165888,0.47195517,4.64,recurrent,1
167936,0.54114701,4.42,recurrent,1
169984,0.49166126000000004,4.55,recurrent,1
172032,0.52096329,4.71,recurrent,1
174080,0.55026539,4.66,recurrent,1
176128,0.48221231,4.46,recurrent,1
178176,0.4332776199999999,4.41,recurrent,1
180224,0.51100004,4.63,recurrent,1
182272,0.55019189,4.68,recurrent,1
184320,0.50129395,4.7,recurrent,1
186368,0.51133066,4.6,recurrent,1
188416,0.53114699,4.44,recurrent,1
190464,0.51191842,4.5,recurrent,1
192512,0.53096331,4.6,recurrent,1
194560,0.51147764,4.51,recurrent,1
196608,0.49118371000000005,4.72,recurrent,1
198656,0.4814776,4.51,recurrent,1
200704,0.4126531,4.72,recurrent,1
202752,0.47217558000000004,4.65,recurrent,1
204800,0.50151433,4.85,recurrent,1
206848,0.44261639,4.39,recurrent,1
208896,0.5703388600000001,4.49,recurrent,1
210944,0.47074292999999995,5.07,recurrent,1
212992,0.40276328,4.67,recurrent,1
215040,0.51033881,4.85,recurrent,1
217088,0.47195513000000006,4.66,recurrent,1
219136,0.4229102599999999,4.58,recurrent,1
221184,0.54125724,4.48,recurrent,1
223232,0.5112939100000001,4.62,recurrent,1
225280,0.52122047,4.52,recurrent,1
227328,0.5407429100000001,4.61,recurrent,1
229376,0.521147,4.53,recurrent,1
231424,0.44280005,4.66,recurrent,1
233472,0.53100006,4.62,recurrent,1
235520,0.47221232,4.41,recurrent,1
237568,0.51096333,4.77,recurrent,1
239616,0.55019191,4.54,recurrent,1
241664,0.49077960000000004,4.76,recurrent,1
243712,0.48169805,4.62,recurrent,1
245760,0.44228576999999997,4.62,recurrent,1
247808,0.56831841,5.13,recurrent,1
249856,0.49155108999999997,4.48,recurrent,1
251904,0.43250616999999997,4.58,recurrent,1
253952,0.51081639,4.69,recurrent,1
256000,0.47210209999999997,4.43,recurrent,1
258048,0.48140412,4.74,recurrent,1
260096,0.4422122700000001,4.72,recurrent,1
262144,0.51140412,4.53,recurrent,1
264192,0.5210735400000001,4.75,recurrent,1
266240,0.5410000800000001,4.47,recurrent,1
268288,0.5495673999999999,5.03,recurrent,1
270336,0.46224903999999994,4.63,recurrent,1
272384,0.45268987999999993,4.57,recurrent,1
274432,0.50041231,4.95,recurrent,1
276480,0.54063271,4.81,recurrent,1
278528,0.55055927,4.75,recurrent,1
280576,0.49066943,4.76,recurrent,1
282624,0.48195517000000004,4.82,recurrent,1
284672,0.56879597,5.4,recurrent,1
286720,0.49100005,5.37,recurrent,1
288768,0.44125719,5.84,recurrent,1
290816,0.50901636,5.91,recurrent,1
292864,0.52070615,5.02,recurrent,1
294912,0.44052251,5.32,recurrent,1
296960,0.44122047000000003,4.86,recurrent,1
299008,0.43000822,5.74,recurrent,1
301056,0.47015513,5.69,recurrent,1
303104,0.39221229,5.1,recurrent,1
305152,0.47155104999999997,5.06,recurrent,1
307200,0.46133069000000004,5.05,recurrent,1
309248,0.56883269,5.7,recurrent,1
311296,0.49956741,5.06,recurrent,1
313344,0.50044905,5.37,recurrent,1
315392,0.5103388200000001,4.93,recurrent,1
317440,0.50122044,4.77,recurrent,1
319488,0.53118373,4.44,recurrent,1
321536,0.51114699,4.68,recurrent,1
323584,0.50140415,4.59,recurrent,1
325632,0.51000821,5.05,recurrent,1
327680,0.54004497,4.84,recurrent,1
329728,0.47221232,4.35,recurrent,1
331776,0.46254291,4.58,recurrent,1
333824,0.45276332,4.49,recurrent,1
335872,0.48191844999999994,4.5,recurrent,1
337920,0.4422123000000001,4.56,recurrent,1
339968,0.45166125,5.06,recurrent,1
342016,0.4619551499999999,4.67,recurrent,1
344064,0.45224900999999995,4.69,recurrent,1
346112,0.44268985,4.42,recurrent,1
348160,0.550596,4.78,recurrent,1
350208,0.49147762,4.74,recurrent,1
352256,0.42243269,4.59,recurrent,1
354304,0.56997152,4.92,recurrent,1
356352,0.38342452,4.84,recurrent,1
358400,0.5604490099999999,4.52,recurrent,1
360448,0.46210208999999997,4.54,recurrent,1
362496,0.53092659,4.66,recurrent,1
364544,0.46217557,4.38,recurrent,1
366592,0.46217557,4.53,recurrent,1
368640,0.43257967,4.65,recurrent,1
370688,0.50140414,4.65,recurrent,1
372736,0.4719183900000001,4.53,recurrent,1
374784,0.48173473,4.76,recurrent,1
376832,0.49144087999999997,4.8,recurrent,1
378880,0.50140412,4.64,recurrent,1
380928,0.5206694100000001,4.85,recurrent,1
382976,0.5991265800000001,5.13,recurrent,1
385024,0.48118373,4.87,recurrent,1
387072,0.47144085999999996,4.84,recurrent,1
389120,0.45173473999999997,4.92,recurrent,1
391168,0.46155108000000006,4.84,recurrent,1
393216,0.54008165,4.92,recurrent,1
395264,0.43268984000000005,4.66,recurrent,1
397312,0.51920004,5.24,recurrent,1
399360,0.48114694999999996,4.75,recurrent,1
401408,0.45122042000000007,5.13,recurrent,1
